tweetId,CommunityNegative,CommunityPositive,CoolNegative,CoolPositive,ExcitingNegative,ExcitingPositive,FriendlyNegative,FriendlyPositive,GoodsQualityNegative,GoodsQualityPositive,InnovativeNegative,InnovativePositive,InternetMobileNegative,InternetMobilePositive,PersonalRelationshipsNegative,PersonalRelationshipsPositive,PriceNegative,PricePositive,ServiceQualityNegative,ServiceQualityPositive,SocialResponsibilityNegative,SocialResponsibilityPositive,SustainabilityNegative,SustainabilityPositive,TrustworthyNegative,TrustworthyPositive
601744817912029186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744817127849984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06153846154,0,0,0,0.02040816327,0,0,0,0,0,0.03448275862
601744817161383936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744817446625281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03401360544,0,0,0,0,0,0
601744817282945024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744818176425984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744817815564288,0,0,0,0,0,0,0,0,0,0.03937007874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744817530408960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744818285518848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744818256117760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744818268721152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02040816327,0,0,0,0,0,0
601744818058887168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744818063048704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744818260193282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744818297929728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07575757576,0,0.1296296296,0,0
601744817765363712,0,0,0.109375,0,0,0,0,0,0,0,0.2295081967,0,0.1290322581,0,0,0,0,0,0,0,0,0,0,0,0,0
601744819484897280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04651162791,0,0,0,0,0,0,0,0,0
601744819963039746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744819711520768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06060606061,0,0,0,0,0,0,0,0
601744819883364353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744819942129665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744820130942977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744820370046976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744820290355202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744819749138432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744820072091648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744819468247040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04651162791,0,0,0,0,0,0,0,0,0
601744819866636289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744820235796480,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04651162791,0.0303030303,0.03636363636,0,0,0,0,0,0,0
601744820067901440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744820407762946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744820306989056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744819623317504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744823834411010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05442176871,0,0,0,0,0,0
601744824136400896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744824174247936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744824186744833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744824211898368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744824056745984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744824350310401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744824471977986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744828557303808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744827978416128,0,0.125,0,0,0,0,0,0.1098901099,0,0,0.04918032787,0,0.04838709677,0,0,0.1846153846,0,0,0,0.09523809524,0,0.09090909091,0,0.09259259259,0,0.05747126437
601744827571507200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744828595068929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744828607631360,0,0,0.046875,0.03614457831,0,0,0,0,0,0,0,0,0,0,0,0.06153846154,0,0,0,0.02040816327,0,0,0,0,0,0.03448275862
601744828330676225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744828318134272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744828460838912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744827965788164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06060606061,0,0,0,0,0,0,0,0
601744828330708993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744827542163456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744828691546112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744828540571649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744828481740801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744828729303042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744828334936065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744828611756033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601744828389466113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05747126437
